time,ch1,ch2,ch3
1644,3.3,3.3,1.73
1646,3.3,3.3,1.6
1648,3.3,3.3,1.69
1650,3.3,3.3,2.22
1652,2.51,1.66,2.61
1654,0.71,0.8,2.64
1656,1.19,1.65,2.45
1658,2.32,3.13,2.32
1660,3.3,3.3,2.07
1662,3.3,3.3,1.95
1665,3.3,3.3,1.79
1667,3.3,3.3,1.5
1669,3.3,3.3,1.63
1671,3.3,3.3,1.69
1673,2.97,1.42,1.76
1675,2.34,0.47,1.7
1677,2.81,1.71,1.57
1679,3.3,3.27,1.81
1680,3.3,3.3,1.83
1682,3.3,3.3,1.76
1684,3.3,3.3,1.78
1686,3.3,3.3,1.98
1688,3.3,3.3,1.96
1690,0.07,3.3,2.19
1692,0,1.85,2.31
1694,0,0.88,2.65
1696,0,2.02,2.81
1698,0,3.3,2.79
1700,0.11,3.3,2.76
1702,0.93,3.3,2.91
1704,1.73,3.3,2.82
1707,2.77,3.3,2.67
1709,2.15,3.3,2.67
1711,1.01,3.3,2.83
1713,0,1.8,2.19
1715,0,1.23,2.3
1717,0.07,2.11,2.19
1719,0.65,3.3,1.96
1721,1.25,3.3,1.99
1722,1.98,3.3,2.25
1724,3.22,3.3,2.1
1726,3.3,3.3,2.04
1728,2.67,3.3,1.9
1730,1.79,3.3,2.27
1732,1.04,1.74,2.38
1734,1.01,0.86,1.71
1736,1.48,1.74,1.63
1738,2.29,3.2,1.64
1740,2.94,3.3,1.57
1742,3.3,3.3,1.7
1744,3.3,3.3,1.77
1746,3.3,3.3,1.78
1748,3.3,3.3,1.93
1751,3.3,3.3,1.89
1753,2.18,1.41,1.81
1755,1.69,0.43,2.06
1757,2.22,1.55,3.01
1759,3,3.01,3.3
1761,3.3,3.3,3.3
1763,3.3,3.3,3.3
1765,3.3,3.3,3.3
1766,3.3,3.3,3.3
1768,3.3,3.3,3.3
1770,3.3,3.3,3.3
1772,2.5,1.06,3.3
1774,1.47,0.29,3.3
1776,1.72,1.42,3.3
1778,2.34,2.96,3.3
1780,2.95,3.3,3.3
1782,3.3,3.3,3.3
1784,3.3,3.3,3.3
1786,3.3,3.3,3.3
1788,3.3,3.3,3.3
1790,3.3,3.3,3.3
1793,2.54,1,3.3
1795,2.42,0.28,3.3
1797,2.77,1.29,3.3
1799,3.3,2.82,3.3
1801,3.3,3.3,3.3
1803,3.3,3.3,3.3
1805,3.3,3.3,3.3
1807,3.3,3.3,3.15
1808,3.3,3.3,2.91
1810,3.3,3.16,2.58
1812,3.3,0.94,2.65
1814,3.3,0.26,2.89
1816,3.3,1.52,3.04
1818,3.3,2.86,3.15
1820,3.3,3.3,2.97
1822,3.3,3.3,2.71
1824,3.3,3.3,2.62
1826,3.3,3.3,2.63
1828,3.3,3.3,2.75
1830,3.3,3.22,3.13
1832,2.41,0.92,3.18
1835,1.88,0.25,2.14
1837,2.35,1.49,1.32
1839,2.75,2.75,1.65
1841,3.16,3.3,2.08
1843,3.3,3.3,2.33
1845,3.3,3.3,2.39
1847,3.3,3.3,2.29
1849,3.3,3.3,2.35
1850,3.3,3.29,2.45
1852,2.33,0.99,2.49
1854,1.83,0.24,2.49
1856,1.92,1.29,2.05
1858,2.3,2.78,1.98
1860,2.87,3.3,2.28
1862,3.16,3.3,2.53
1864,3.3,3.3,2.79
1866,3.3,3.3,2.53
1868,3.3,3.3,1.88
1870,3.17,2.99,1.85
1872,1.51,0.73,2.39
1874,0.82,0.07,2.38
1876,1.17,1.2,2.26
1879,1.75,2.69,2.36
1881,2.09,3.3,2.24
1883,3.04,3.3,2.53
1885,3.3,3.3,2.7
1887,3.3,3.3,2.86
1889,3.3,3.3,2.78
1891,2.81,3.09,2.67
1893,1.01,0.73,2.47
1894,0.64,0,2.56
1896,1.25,1.23,2.57
1898,0,2.53,2.31
1900,0.13,3.3,3.07
1902,1.83,3.3,3.3
1904,3.3,3.3,2.87
1906,3.3,3.3,2.66
1908,3.3,3.3,2.72
1910,3.3,3.08,2.78
1912,2.08,0.9,2.81
1914,2.13,0.32,2.96
1916,2.66,1.56,2.96
1918,3.27,3.12,3.25
1921,3.3,3.3,3.3
1923,3.3,3.3,3.3
1925,3.3,3.3,2.57
1927,3.3,3.3,2.57
1929,3.3,3.3,3.3
1931,3.3,3.09,3.14
1933,2.45,0.81,2.44
1935,2.02,0,2.34
1936,2.75,1.55,2.94
1938,2.99,2.91,3.14
1940,3.3,3.3,3.3
1942,3.3,3.3,3.3
1944,3.3,3.3,3.3
1946,3.3,3.3,3.16
1948,3.3,3.3,2.92
1950,3.3,3.22,2.86
1952,2.86,1.01,3.08
1954,2.43,0.5,3.25
1956,2.7,1.71,3.16
1958,3.3,3,3.14
1960,3.3,3.3,3.12
1963,3.3,3.3,3.19
1965,3.3,3.3,3.19
1967,3.3,3.3,3.3
1969,3.3,3.3,3.3
1971,3.3,3.06,3.3
1973,2.75,0.74,2.87
1975,2.51,0.28,2.2
1977,2.92,1.5,2.47
1978,3.3,2.88,2.9
1980,3.3,3.3,3.3
1982,3.3,3.3,3.3
